Timestamp;net photosynthesis
2018-02-07 12:36:43;-0.39879438321884403
2018-02-07 12:51:12;0.135978128426891
2018-02-07 12:56:13;-0.7930846441359749
2018-02-07 13:01:14;-0.590648929656498
2018-02-07 13:06:15;-0.19000606536865197
2018-02-07 13:11:16;0.0244729995727539
2018-02-07 13:16:17;0.26532832278481
2018-02-07 13:21:18;0.620115407307943
2018-02-07 13:26:19;0.723084316977972
2018-02-07 13:31:20;0.8460396875309041
2018-02-07 13:36:21;0.788240892404995
2018-02-07 13:41:22;1.74539465525794
2018-02-07 13:46:24;1.6528649708581298
2018-02-07 13:51:24;1.05855694939108
2018-02-07 13:56:24;0.8644795235388921
2018-02-07 14:01:24;1.0434821863144
2018-02-07 14:06:25;1.18902273396499
2018-02-07 14:11:26;1.4160893696560999
2018-02-07 14:16:27;1.34536169744601
2018-02-07 14:21:28;1.3675988769531298
2018-02-07 14:26:29;1.38999702331217
2018-02-07 14:31:30;1.27859877321286
2018-02-07 14:36:31;1.10195971446432
2018-02-07 14:41:32;0.230423651801215
2018-02-07 14:46:33;-0.0254839418795162
2018-02-07 14:51:34;-0.28555815386924
2018-02-07 14:56:35;-0.4418415292723929
2018-02-07 15:01:36;-0.144865578355881
2018-02-07 15:06:37;0.20654406213456697
2018-02-07 15:11:38;0.706924200057983
2018-02-07 15:16:39;0.83824196618272
2018-02-07 15:21:40;1.24323024871243
2018-02-07 15:26:41;2.1558448680933
2018-02-07 15:31:42;2.06717011422822
2018-02-07 15:36:42;1.9732468433869197
2018-02-07 15:41:42;1.99311330694901
2018-02-07 15:46:42;1.78377289214692
2018-02-07 15:51:42;1.3987265882400701
2018-02-07 15:56:42;0.9771203534779441
2018-02-07 16:01:42;0.9901481777180541
2018-02-07 16:06:43;0.9754457321410741
2018-02-07 16:11:44;0.965479273704966
2018-02-07 16:16:45;0.9835105325376559
2018-02-07 16:21:46;0.871787464275909
